Method,Name,Error,Occurrences
POST,/tools.descartes.teastore.webui/loginAction?username=user410&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user410&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user360&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user360&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user374&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user374&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user463&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user463&password=password'),1
GET,/tools.descartes.teastore.webui/category?page=2&category=2,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/category?page=2&category=2'),66
POST,/tools.descartes.teastore.webui/loginAction?username=user484&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user484&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user37&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user37&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user313&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user313&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user9&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user9&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user6&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user225&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user225&password=password'),2
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=245,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=245'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user194&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user194&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=282,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=282'),1
GET,/tools.descartes.teastore.webui/category?page=5&category=4,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/category?page=5&category=4'),78
POST,/tools.descartes.teastore.webui/loginAction?username=user90&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user90&password=password'),2
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=451,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user108&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user108&password=password'),3
POST,/tools.descartes.teastore.webui/loginAction?username=user252&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/login'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user202&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user202&password=password'),2
GET,/tools.descartes.teastore.webui/category?page=2&category=3,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/category?page=2&category=3'),64
POST,/tools.descartes.teastore.webui/loginAction?username=user357&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user357&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=315,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=315'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user18&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user18&password=password'),1
GET,/tools.descartes.teastore.webui/product?id=427,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/product?id=427'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=447,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user361&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user361&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user128&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user128&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user444&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user444&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user77&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user77&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user58&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user58&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user91&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user91&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user121&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user121&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user99&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user99&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user200&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user200&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=142,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=142'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user487&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user487&password=password'),3
POST,/tools.descartes.teastore.webui/loginAction?username=user184&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user184&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=292,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user427&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user427&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user267&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user267&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=278,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=278'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user467&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user467&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=91,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=153,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user485&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user485&password=password'),1
GET,/tools.descartes.teastore.webui/product?id=480,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/product?id=480'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user287&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user287&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user255&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user255&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user343&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user343&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user28&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user28&password=password'),2
GET,/tools.descartes.teastore.webui/product?id=407,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/product?id=407'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user335&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user335&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user23&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user23&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user72&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user72&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user294&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user294&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user49&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user49&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user426&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/login'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user282&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user282&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user45&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user45&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user205&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user205&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user137&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user137&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user401&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user401&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user481&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/login'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user22&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user22&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user260&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user260&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user106&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user106&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user50&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user50&password=password'),1
GET,/tools.descartes.teastore.webui/product?id=459,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/product?id=459'),1
GET,/tools.descartes.teastore.webui/product?id=29,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/product?id=29'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user134&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user134&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user100&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user100&password=password'),1
GET,/tools.descartes.teastore.webui/product?id=505,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/product?id=505'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=122,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user20&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user20&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user140&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user140&password=password'),2
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=72,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user286&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user286&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user456&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user456&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user21&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user21&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user491&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user491&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user182&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user182&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=75,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=75'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user441&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user441&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user92&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user92&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user74&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=313,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=313'),1
POST,/tools.descartes.teastore.webui/cartAction?firstname=User&lastname=User&adress1=Road&adress2=City&cardtype=volvo&cardnumber=314159265359&expirydate=12%2F2050&confirm=Confirm,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?firstname=User&lastname=User&adress1=Road&adress2=City&cardtype=volvo&cardnumber=314159265359&expirydate=12%2F2050&confirm=Confirm'),331
POST,/tools.descartes.teastore.webui/loginAction?username=user139&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user139&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user393&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user393&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user203&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user203&password=password'),1
GET,/tools.descartes.teastore.webui/category?page=3&category=6,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/category?page=3&category=6'),69
POST,/tools.descartes.teastore.webui/loginAction?username=user231&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user231&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user109&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user109&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user255&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/login'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user126&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user126&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user279&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user279&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user372&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user372&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=61,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=79,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=79'),1
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=504,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=504'),1
GET,/tools.descartes.teastore.webui/category?page=4&category=2,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/category?page=4&category=2'),71
POST,/tools.descartes.teastore.webui/loginAction?username=user80&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user303&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user303&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user283&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user283&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user162&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user162&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user271&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user271&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user443&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user443&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user306&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user306&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user221&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user221&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user189&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user189&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user160&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user160&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user168&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user168&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user368&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/login'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user173&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user173&password=password'),3
GET,/tools.descartes.teastore.webui/category?page=3&category=5,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/category?page=3&category=5'),80
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=502,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cart'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user470&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user470&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user228&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user228&password=password'),1
GET,/tools.descartes.teastore.webui/category?page=1&category=3,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/category?page=1&category=3'),56
POST,/tools.descartes.teastore.webui/loginAction?username=user458&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/login'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user471&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user471&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user98&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user98&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user185&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user185&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user475&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user475&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user322&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user322&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user334&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user334&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user70&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user70&password=password'),2
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=374,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=374'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user474&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user474&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user64&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user64&password=password'),2
POST,/tools.descartes.teastore.webui/loginAction?username=user371&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user371&password=password'),3
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=47,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/cartAction?addToCart=&productid=47'),1
POST,/tools.descartes.teastore.webui/loginAction?username=user217&password=password,HTTPError('502 Server Error: Bad Gateway for url: http://teastore.lelier.de/tools.descartes.teastore.webui/loginAction?username=user217&password=password'),1
